run,tag,TP,TN,FP,FN,decision_accuracy,overgeneration_rate,omission_rate
mid-presentation,020,33,0,0,0,1.0,,0.0
mid-presentation,041,1,26,4,2,0.8182,0.1333,0.6667
mid-presentation,056,21,0,0,12,0.6364,,0.3636
mid-presentation,082,0,32,1,0,0.9697,0.0303,
mid-presentation,245,33,0,0,0,1.0,,0.0
mid-presentation,246,0,28,1,4,0.8485,0.0345,1.0
mid-presentation,250,0,33,0,0,1.0,0.0,
mid-presentation,260,32,0,0,1,0.9697,,0.0303
mid-presentation,300,11,0,0,22,0.3333,,0.6667
mid-presentation,490,3,16,0,14,0.5758,0.0,0.8235
mid-presentation,500,5,10,17,1,0.4545,0.6296,0.1667
mid-presentation,546,1,12,18,2,0.3939,0.6,0.6667
mid-presentation,653,31,0,0,2,0.9394,,0.0606
mid-presentation,700,23,0,0,10,0.697,,0.303
mid-presentation,710,0,33,0,0,1.0,0.0,
after-rag,020,33,0,0,0,1.0,,0.0
after-rag,041,3,30,0,0,1.0,0.0,0.0
after-rag,056,30,0,0,3,0.9091,,0.0909
after-rag,082,0,33,0,0,1.0,0.0,
after-rag,245,33,0,0,0,1.0,,0.0
after-rag,246,0,23,6,4,0.697,0.2069,1.0
after-rag,250,0,33,0,0,1.0,0.0,
after-rag,260,33,0,0,0,1.0,,0.0
after-rag,300,33,0,0,0,1.0,,0.0
after-rag,490,7,16,0,10,0.697,0.0,0.5882
after-rag,500,6,8,19,0,0.4242,0.7037,0.0
after-rag,546,3,28,2,0,0.9394,0.0667,0.0
after-rag,653,33,0,0,0,1.0,,0.0
after-rag,700,33,0,0,0,1.0,,0.0
after-rag,710,0,28,5,0,0.8485,0.1515,
after-validator,020,33,0,0,0,1.0,,0.0
after-validator,041,3,30,0,0,1.0,0.0,0.0
after-validator,056,30,0,0,3,0.9091,,0.0909
after-validator,082,0,33,0,0,1.0,0.0,
after-validator,245,33,0,0,0,1.0,,0.0
after-validator,246,0,28,1,4,0.8485,0.0345,1.0
after-validator,250,0,33,0,0,1.0,0.0,
after-validator,260,33,0,0,0,1.0,,0.0
after-validator,300,33,0,0,0,1.0,,0.0
after-validator,490,7,16,0,10,0.697,0.0,0.5882
after-validator,500,0,27,0,6,0.8182,0.0,1.0
after-validator,546,1,30,0,2,0.9394,0.0,0.6667
after-validator,653,32,0,0,1,0.9697,,0.0303
after-validator,700,33,0,0,0,1.0,,0.0
after-validator,710,0,33,0,0,1.0,0.0,
