run,field,gold_books,mean_score,exact_rate
mid-presentation,020,33,1.0,1.0
mid-presentation,245,33,0.4192,0.0606
mid-presentation,250,0,,
mid-presentation,260,33,0.8636,0.7576
mid-presentation,300,33,0.1364,0.0606
mid-presentation,041,3,0.3333,0.3333
mid-presentation,056,33,0.2879,0.1515
mid-presentation,082,0,,
mid-presentation,653,33,0.2624,0.0303
mid-presentation,700,33,0.6566,0.5758
after-rag,020,33,1.0,1.0
after-rag,245,33,0.8041,0.4242
after-rag,250,0,,
after-rag,260,33,0.9242,0.8485
after-rag,300,33,0.5909,0.303
after-rag,041,3,1.0,1.0
after-rag,056,33,0.4545,0.4242
after-rag,082,0,,
after-rag,653,33,0.2484,0.0
after-rag,700,33,0.9302,0.9091
after-validator,020,33,1.0,1.0
after-validator,245,33,0.8041,0.4242
after-validator,250,0,,
after-validator,260,33,0.9242,0.8485
after-validator,300,33,0.5909,0.303
after-validator,041,3,1.0,1.0
after-validator,056,33,0.4545,0.4242
after-validator,082,0,,
after-validator,653,33,0.2151,0.0
after-validator,700,33,0.9448,0.9091
